paralog_pair,gene_A,gene_B,n_cell_lines_scored,scored_in_PC9,scored_in_HeLa,prediction_PC9,prediction_HeLa
CT45A6_CT45A8,CT45A6,CT45A8,1,TRUE,FALSE,0.119405106,
CT45A6_CT45A9,CT45A6,CT45A9,1,TRUE,FALSE,0.082686156,
CT45A7_CT45A10,CT45A7,CT45A10,1,TRUE,FALSE,0.058482748,
CT45A7_CT45A8,CT45A7,CT45A8,1,TRUE,FALSE,0.142057344,
CT45A7_CT45A9,CT45A7,CT45A9,1,TRUE,FALSE,0.117833354,
CT45A8_CT45A10,CT45A8,CT45A10,1,TRUE,FALSE,0.086562715,
CT45A8_CT45A9,CT45A8,CT45A9,1,TRUE,FALSE,0.110333577,
CT45A9_CT45A10,CT45A9,CT45A10,1,TRUE,FALSE,0.059220128,
CT47A1_CT47A6,CT47A1,CT47A6,1,TRUE,FALSE,0.116225719,
CT47A1_CT47A7,CT47A1,CT47A7,1,TRUE,FALSE,0.070024341,
CT47A6_CT47A7,CT47A6,CT47A7,1,TRUE,FALSE,0.0775479,
CTAG1A_CTAG1B,CTAG1A,CTAG1B,1,TRUE,FALSE,0.14951082,
CTAGE4_CTAGE15,CTAGE4,CTAGE15,1,TRUE,FALSE,0.159381345,
CTAGE4_CTAGE6,CTAGE4,CTAGE6,1,TRUE,FALSE,0.089971371,
CTAGE4_CTAGE8,CTAGE4,CTAGE8,1,TRUE,FALSE,0.077284001,
CTAGE6_CTAGE15,CTAGE6,CTAGE15,1,TRUE,FALSE,0.153050691,
CTAGE6_CTAGE8,CTAGE6,CTAGE8,1,TRUE,FALSE,0.086148836,
CTAGE8_CTAGE15,CTAGE8,CTAGE15,1,TRUE,FALSE,0.142397642,
CTRB1_CTRB2,CTRB1,CTRB2,2,TRUE,TRUE,0.010905767,0.01671713
CXorf49_CXorf49B,CXorf49,CXorf49B,1,TRUE,FALSE,0.080351919,
CXorf51A_CXorf51B,CXorf51A,CXorf51B,1,TRUE,FALSE,0.221095338,
DAZ1_DAZ2,DAZ1,DAZ2,1,TRUE,FALSE,0.061291002,
DAZ1_DAZ3,DAZ1,DAZ3,1,TRUE,FALSE,0.06282071,
DAZ1_DAZ4,DAZ1,DAZ4,1,TRUE,FALSE,0.063135706,
DAZ2_DAZ3,DAZ2,DAZ3,1,TRUE,FALSE,0.063715219,
DAZ2_DAZ4,DAZ2,DAZ4,1,TRUE,FALSE,0.076416492,
DAZ3_DAZ4,DAZ3,DAZ4,1,TRUE,FALSE,0.072554037,
DEFA1B_DEFA3,DEFA1B,DEFA3,1,TRUE,FALSE,0.006677856,
DEFA1_DEFA1B,DEFA1,DEFA1B,1,TRUE,FALSE,0.047621015,
DEFA1_DEFA3,DEFA1,DEFA3,1,TRUE,FALSE,0.025835985,
DEFB103A_DEFB103B,DEFB103A,DEFB103B,1,TRUE,FALSE,0.111606866,
DEFB104A_DEFB104B,DEFB104A,DEFB104B,1,TRUE,FALSE,0.112623595,
DEFB105A_DEFB105B,DEFB105A,DEFB105B,1,TRUE,FALSE,0.106315844,
DEFB107A_DEFB107B,DEFB107A,DEFB107B,1,TRUE,FALSE,0.109537289,
DEFB130A_DEFB130B,DEFB130A,DEFB130B,1,TRUE,FALSE,0.105684206,
DEFB4A_DEFB4B,DEFB4A,DEFB4B,1,TRUE,FALSE,0.029784894,
DMRTC1_DMRTC1B,DMRTC1,DMRTC1B,1,TRUE,FALSE,0.091646507,
DNAH8_DNAH17,DNAH8,DNAH17,2,TRUE,TRUE,0.009013346,0.000108106
EFCAB8_WDR49,EFCAB8,WDR49,2,TRUE,TRUE,0.065275423,0.06017939
EIF3C_EIF3CL,EIF3C,EIF3CL,1,TRUE,FALSE,0.5412278,
